SetupID,Timestamp,DayOfWeek,Trade_Executed,Rejected_Step,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,Session,MarketCondition,ConfluenceScore,ATR14_Pips,ATR50_Pips,Spread_Pips,SpreadPctATR,ADX_Value,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,Score_H4Align,Score_H1Align,OB_Score,Cond_Score,win_loss,tp1_hit,tp2_hit,tp3_hit,sl_hit,mfe_r,mae_r,bars_to_outcome,entry_price,atr_1r
ATLAS_20150102_101500_0002,2015.01.02 10:15:00,Friday,NO,MSS,BULLISH,BEARISH,BULLISH,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OK,DISCOUNT,NONE,TRENDING,105,2.72,1.85,0.37,13.61,32.44,15,15,20,0,15,10,10,5,5,5,5,1,0,0,2,1,1,1,1,0,6.18,0.187,1,1177.52,2.72
ATLAS_20150102_104500_0004,2015.01.02 10:45:00,Friday,NO,MSS,BULLISH,BEARISH,BULLISH,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OK,DISCOUNT,NONE,TRENDING,105,2.6,1.86,0.46,17.66,25.92,15,15,20,0,15,10,10,5,5,5,5,1,0,0,2,1,1,1,0,0,2.735,1.204,2,1187.87,2.6
ATLAS_20150105_024500_0036,2015.01.05 02:45:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,2.86,3.4,0.49,17.15,38.82,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.591,1.182,9,1195.65,2.86
ATLAS_20150105_030000_0037,2015.01.05 03:00:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,2.86,3.42,0.65,22.69,42.39,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.392,1.035,4,1195.95,2.86
ATLAS_20150105_031500_0038,2015.01.05 03:15:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,3.03,3.44,0.49,16.17,46.64,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.162,1.162,7,1195.79,3.03
ATLAS_20150105_033000_0039,2015.01.05 03:30:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,2.99,3.42,0.49,16.4,50.31,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.144,1.047,6,1195.4,2.99
ATLAS_20150105_034500_0040,2015.01.05 03:45:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,2.96,3.43,0.49,16.57,49.06,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.777,1.699,8,1193.53,2.96
ATLAS_20150105_040000_0041,2015.01.05 04:00:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,2.97,3.26,0.46,15.47,47.98,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.657,1.811,7,1193.88,2.97
ATLAS_20150105_041500_0042,2015.01.05 04:15:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,3.04,3.21,0.33,10.87,45.36,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.309,1.135,5,1194.89,3.04
ATLAS_20150105_043000_0043,2015.01.05 04:30:00,Monday,NO,MSS,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,OK,PREMIUM,NONE,TRENDING,105,3.18,3.22,0.46,14.48,45.1,15,15,20,0,15,10,10,5,5,5,5,1,-1,1,2,0,0,0,0,1,0.173,1.097,4,1194.93,3.18
