SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20150106_111500_0138,3,2015.01.06 11:15:00,2015.01.09 17:00:00,Tuesday,XAUUSD,LONG,1214.02,1168.00,1352.08,0.01,0.50,NONE,125,A+,BULLISH,NEUTRAL,NEUTRAL,BULLISH,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,2.10,1.55,0.65,30.89,35.20,1.21,0.1209,3.00,0.263,8.9,9.6,4665,300,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20150112_100000_0163,5,2015.01.12 10:00:00,2015.01.16 17:00:00,Monday,XAUUSD,LONG,1228.57,1196.16,1325.80,0.01,0.50,NONE,125,A+,BULLISH,NEUTRAL,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,OK,PREMIUM,RANGING,1.60,1.58,0.48,29.99,20.02,45.41,4.3387,3.00,14.011,45.5,11.2,6180,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,0,1
ATLAS_20150121_100000_0247,7,2015.01.21 10:00:00,2015.01.23 17:00:00,Wednesday,XAUUSD,LONG,1299.00,1261.89,1410.33,0.01,0.50,NONE,125,A+,BULLISH,NEUTRAL,BULLISH,BEARISH,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,OK,PREMIUM,TRENDING,2.10,2.03,0.55,26.24,31.99,-3.87,-0.3711,3.00,-1.043,8.5,19.7,3300,180,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,-1,0,2
ATLAS_20150126_020000_0252,9,2015.01.26 02:00:00,2015.01.27 02:27:39,Monday,XAUUSD,LONG,1297.50,1274.29,1367.13,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,BEARISH,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,OK,PREMIUM,RANGING,1.78,2.12,0.67,37.66,23.85,-46.44,-4.6612,3.00,-10.004,1.5,23.2,1467,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,-1,1,1
ATLAS_20150127_100000_0271,11,2015.01.27 10:00:00,2015.01.29 13:41:30,Tuesday,XAUUSD,LONG,1280.08,1265.71,1323.19,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,1.57,1.54,0.52,33.14,35.05,-14.41,-1.4676,3.00,-10.028,17.3,14.4,3101,180,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,-1,1,2
ATLAS_20150203_100000_0461,13,2015.02.03 10:00:00,2015.02.03 18:00:40,Tuesday,XAUUSD,LONG,1283.57,1256.30,1365.38,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,BEARISH,NEUTRAL,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.78,1.49,0.58,32.51,52.91,-27.29,-2.8588,3.00,-10.007,1.3,27.3,480,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,2
ATLAS_20150204_124500_0520,15,2015.02.04 12:45:00,2015.02.06 15:55:39,Wednesday,XAUUSD,LONG,1268.90,1245.38,1339.46,0.02,0.50,NONE,125,A+,NEUTRAL,NEUTRAL,BULLISH,BULLISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,DISCOUNT,RANGING,2.32,1.68,0.48,20.70,24.51,-47.04,-5.1831,3.00,-10.000,4.9,23.5,3070,180,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,1,0,1
ATLAS_20150219_143000_1154,17,2015.02.19 14:30:00,2015.02.20 17:00:00,Thursday,XAUUSD,LONG,1222.15,1187.42,1326.34,0.01,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,2.00,1.28,0.57,28.46,25.41,-12.23,-1.3660,3.00,-3.521,0.0,20.7,1590,60,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150223_170000_1207,19,2015.02.23 17:00:00,2015.02.27 17:00:00,Monday,XAUUSD,LONG,1205.00,1184.66,1266.02,0.02,0.50,NEWYORK,120,A+,NEUTRAL,BEARISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,BLOCKED,PREMIUM,TRENDING,2.78,1.63,0.69,24.83,40.16,19.04,2.0823,3.00,4.680,14.8,14.7,5760,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,-1,0,2
ATLAS_20150302_151500_1253,21,2015.03.02 15:15:00,2015.03.06 11:01:30,Monday,XAUUSD,LONG,1219.59,1194.34,1295.34,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,BULLISH,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.49,1.41,0.43,28.90,18.29,-25.27,-2.8422,3.00,-10.008,0.0,25.2,5506,360,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,1,1,1
