SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20150106_030000_0125,3,2015.01.06 03:00:00,2015.01.07 00:07:37,Tuesday,EURUSD,LONG,1.19439,1.18542,1.22130,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,RANGING,4.04,8.52,1.40,34.69,21.51,-9.02,-0.9102,3.00,-1.006,24.3,89.6,1267,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,1
ATLAS_20150108_021500_0218,5,2015.01.08 02:15:00,2015.01.08 10:59:40,Thursday,EURUSD,LONG,1.18468,1.17914,1.20130,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,BEARISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,CHOPPY,4.46,10.28,1.40,31.36,12.89,-5.54,-0.5622,3.00,-1.000,0.0,55.3,524,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,-1,1,0
ATLAS_20150109_031500_0272,7,2015.01.09 03:15:00,2015.01.09 17:00:00,Friday,EURUSD,LONG,1.18095,1.17436,1.20072,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,4.80,8.44,1.40,29.17,28.30,-2.67,-0.2717,3.00,-0.405,22.2,47.2,825,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20150113_051500_0378,9,2015.01.13 05:15:00,2015.01.13 14:51:38,Tuesday,EURUSD,LONG,1.18569,1.17756,1.21008,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,RANGING,7.17,6.96,1.30,18.13,22.89,-8.14,-0.8352,3.00,-1.001,0.6,81.2,576,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,1
ATLAS_20150114_013000_0421,11,2015.01.14 01:30:00,2015.01.14 11:36:16,Wednesday,EURUSD,LONG,1.17803,1.17429,1.18925,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,YES,OK,DISCOUNT,CHOPPY,4.54,9.14,1.40,30.82,17.42,-3.74,-0.3852,3.00,-1.000,30.3,37.1,606,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,0
ATLAS_20150114_114500_0422,14,2015.01.14 11:51:16,2015.01.14 13:16:14,Wednesday,EURUSD,LONG,1.17351,1.17167,1.17903,0.02,0.50,NONE,120,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,BLOCKED,DISCOUNT,TRENDING,15.56,7.97,1.30,8.35,25.96,1.00,0.1029,3.00,0.272,26.0,1.5,84,0,StopLoss,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,0,0,1,2
ATLAS_20150119_100000_0451,17,2015.01.19 10:00:00,2015.01.22 17:26:28,Monday,EURUSD,LONG,1.15587,1.14494,1.18866,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,BEARISH,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,OK,PREMIUM,TRENDING,9.00,9.23,1.20,13.33,26.54,-10.94,-1.1149,3.00,-1.001,120.3,109.1,4766,300,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,-1,1,2
ATLAS_20150130_030000_0858,19,2015.01.30 03:00:00,2015.01.30 17:00:00,Friday,EURUSD,LONG,1.13279,1.12512,1.15580,0.01,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,5.79,11.25,1.60,27.62,32.16,-2.50,-0.2554,3.00,-0.326,34.9,36.0,840,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150202_041500_0876,21,2015.02.02 04:15:00,2015.02.03 20:14:37,Monday,EURUSD,LONG,1.13248,1.12670,1.14982,0.01,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,OK,PREMIUM,TRENDING,6.59,11.70,1.00,15.17,26.93,17.35,1.7419,3.00,3.002,173.3,33.0,2399,120,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,YES,NO,0,-1,1,2
ATLAS_20150203_210000_0880,23,2015.02.03 21:00:42,2015.02.06 17:00:00,Tuesday,EURUSD,LONG,1.14818,1.12818,1.20818,0.01,0.50,NONE,120,A+,NEUTRAL,BULLISH,NEUTRAL,NEUTRAL,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,22.43,17.23,0.70,3.12,58.97,-14.09,-1.4349,3.00,-0.705,17.2,178.3,4079,240,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,1,2
