SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20040702_144500_0970,3,2004.07.02 14:45:00,2004.07.02 17:01:30,Friday,XAUUSD,LONG,397.52,381.30,446.18,0.03,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,1.23,0.59,0.02,1.63,41.21,1.74,0.1737,3.00,0.358,1.8,0.4,136,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20040813_144500_2934,5,2004.08.13 14:45:00,2004.08.13 17:00:00,Friday,XAUUSD,LONG,394.82,382.30,432.38,0.04,0.50,NONE,125,A+,BULLISH,NEUTRAL,BEARISH,NEUTRAL,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,0.86,0.72,0.02,2.31,23.27,9.12,0.9022,3.00,1.821,3.3,0.0,135,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,1
ATLAS_20041008_144500_5503,7,2004.10.08 14:45:00,2004.10.08 17:00:01,Friday,XAUUSD,LONG,421.82,406.70,467.18,0.03,0.50,NONE,120,A+,BULLISH,NEUTRAL,NEUTRAL,BULLISH,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,0.57,0.38,0.02,3.50,34.48,1.44,0.1423,3.00,0.317,1.5,0.7,135,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20050324_144500_12911,9,2005.03.24 14:45:30,2005.04.01 17:00:30,Thursday,XAUUSD,LONG,425.82,413.50,462.78,0.04,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,OK,PREMIUM,RANGING,0.76,0.66,0.02,2.64,20.95,-2.08,-0.2059,3.00,-0.422,2.7,2.7,11655,720,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,1
ATLAS_20050429_154500_14338,11,2005.04.29 15:45:00,2005.04.29 17:00:00,Friday,XAUUSD,LONG,434.52,419.80,478.68,0.03,0.50,NONE,120,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,0.92,0.75,0.02,2.17,28.40,2.04,0.2015,3.00,0.462,1.8,0.7,75,0,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,1,0,1,2
ATLAS_20051014_144500_21999,13,2005.10.14 14:45:30,2005.10.14 17:00:30,Friday,XAUUSD,LONG,470.82,457.30,511.38,0.03,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,0.49,0.32,0.02,4.06,26.39,-13.56,-1.3578,3.00,-3.343,0.0,5.5,135,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20051117_144500_23636,15,2005.11.17 14:45:00,2005.11.18 17:01:00,Thursday,XAUUSD,LONG,484.32,457.80,563.88,0.01,0.50,NONE,120,A+,BULLISH,NEUTRAL,BULLISH,BULLISH,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,RANGING,0.95,0.59,0.02,2.11,24.87,1.78,0.1779,3.00,0.671,4.3,1.6,1576,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,1,1,1,1
ATLAS_20051215_150000_24745,17,2005.12.15 15:00:00,2005.12.16 17:00:00,Thursday,XAUUSD,LONG,503.72,490.60,543.08,0.03,0.50,NONE,125,A+,NEUTRAL,BEARISH,NEUTRAL,BEARISH,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,0.84,0.69,0.02,2.39,32.04,0.24,0.0240,3.00,0.061,5.1,10.9,1560,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20060117_164500_26000,19,2006.01.17 16:45:00,2006.01.20 17:01:00,Tuesday,XAUUSD,LONG,557.12,534.20,625.88,0.02,0.50,NEWYORK,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,OK,PREMIUM,RANGING,1.53,1.28,0.02,1.31,23.82,7.76,0.7695,3.00,1.693,10.5,16.9,4336,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,1
ATLAS_20060123_021500_26006,21,2006.01.23 02:15:30,2006.01.27 17:00:30,Monday,XAUUSD,LONG,555.52,539.00,605.08,0.03,0.50,NONE,125,A+,BULLISH,BEARISH,NEUTRAL,BULLISH,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.74,1.48,0.02,1.15,30.06,5.94,0.5856,3.00,1.199,10.6,2.8,6645,420,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20060131_183000_26142,23,2006.01.31 18:30:01,2006.02.03 17:00:01,Tuesday,XAUUSD,LONG,570.72,547.50,640.38,0.02,0.50,NEWYORK,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,OK,PREMIUM,RANGING,1.56,0.95,0.02,1.28,18.40,-5.04,-0.4993,3.00,-1.085,4.0,7.7,4230,240,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,0,1
ATLAS_20060216_171500_26787,25,2006.02.16 17:15:00,2006.02.17 17:00:00,Thursday,XAUUSD,LONG,540.72,525.70,585.78,0.03,0.50,NEWYORK,125,A+,NEUTRAL,BEARISH,BEARISH,NEUTRAL,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,OK,PREMIUM,RANGING,1.49,0.94,0.02,1.34,20.41,38.94,3.7145,3.00,8.642,13.3,0.6,1425,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,1
ATLAS_20060228_171500_27168,27,2006.02.28 17:15:30,2006.03.03 17:00:00,Tuesday,XAUUSD,LONG,559.12,541.70,611.38,0.03,0.50,NEWYORK,125,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,OK,PREMIUM,CHOPPY,1.08,0.60,0.02,1.85,16.71,19.74,1.8482,3.00,3.777,11.6,0.9,4304,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,0
