SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20160104_104500_0028,5,2016.01.04 10:45:00,2016.01.08 17:00:00,Monday,XAUUSD,LONG,1073.08,1048.13,1147.93,0.02,0.50,NONE,120,A+,BULLISH,BULLISH,BEARISH,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,BLOCKED,PREMIUM,TRENDING,1.44,1.22,0.32,22.29,55.38,55.94,5.3142,3.00,11.210,40.0,2.8,6135,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,-1,0,0,2
ATLAS_20160113_164500_0236,7,2016.01.13 16:45:00,2016.01.15 17:00:00,Wednesday,XAUUSD,LONG,1088.65,1070.39,1143.43,0.02,0.50,NEWYORK,125,A+,BULLISH,NEUTRAL,NEUTRAL,BEARISH,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,RANGING,1.77,1.30,0.30,16.98,22.50,9.20,0.8664,3.00,2.519,8.7,17.3,2895,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,1
ATLAS_20160126_173000_0719,9,2016.01.26 17:30:00,2016.01.29 17:00:00,Tuesday,XAUUSD,LONG,1115.65,1087.13,1201.21,0.01,0.50,NEWYORK,125,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.83,1.39,0.24,13.08,18.55,-3.61,-0.3411,3.00,-1.266,12.3,7.3,4290,240,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,1
ATLAS_20160201_034500_0731,13,2016.02.01 03:45:00,2016.02.05 17:00:00,Monday,XAUUSD,LONG,1120.94,1098.32,1188.80,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,OK,PREMIUM,TRENDING,1.52,1.53,0.34,22.31,46.78,57.02,5.1409,3.00,12.604,42.1,1.4,6555,420,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,1,1,2
ATLAS_20160208_130000_0768,15,2016.02.08 13:00:00,2016.02.12 17:00:00,Monday,XAUUSD,LONG,1176.14,1135.15,1299.11,0.01,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,BLOCKED,PREMIUM,TRENDING,1.73,1.53,0.32,18.50,60.90,62.82,5.3603,3.00,15.326,87.2,4.6,6000,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,0,2
ATLAS_20160218_180000_1049,17,2016.02.18 18:00:00,2016.02.19 17:00:00,Thursday,XAUUSD,LONG,1215.37,1185.60,1304.68,0.01,0.50,NEWYORK,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,PREMIUM,TRENDING,2.08,1.55,0.24,11.52,37.22,13.21,1.1146,3.00,4.437,24.5,0.2,1380,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,0,2
ATLAS_20160223_040000_1142,21,2016.02.23 04:00:00,2016.02.26 17:00:00,Tuesday,XAUUSD,LONG,1215.63,1191.83,1287.03,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,BEARISH,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.91,2.17,0.29,15.22,45.94,22.46,1.8410,3.00,4.718,37.6,1.0,5100,300,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,1,-1,1,2
ATLAS_20160229_211500_1212,23,2016.02.29 21:15:00,2016.03.04 17:00:00,Monday,XAUUSD,LONG,1236.34,1201.39,1341.19,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,BEARISH,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,CHOPPY,2.01,2.23,0.33,16.39,16.39,39.88,3.1655,3.00,11.411,43.4,11.7,5505,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,0
ATLAS_20160308_023000_1299,25,2016.03.08 02:30:00,2016.03.09 16:16:41,Tuesday,XAUUSD,LONG,1269.29,1246.65,1337.21,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,BULLISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,CHOPPY,1.73,2.47,0.26,15.04,17.29,-45.38,-3.7366,3.00,-10.022,8.8,22.6,2266,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,1,1,0
ATLAS_20160309_201500_1315,27,2016.03.09 20:15:00,2016.03.10 14:58:38,Wednesday,XAUUSD,LONG,1258.16,1241.67,1307.63,0.01,0.50,NONE,120,A+,BULLISH,BEARISH,NEUTRAL,BEARISH,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,BLOCKED,PREMIUM,RANGING,3.44,2.44,0.33,9.60,21.43,-16.51,-1.3782,3.00,-10.012,0.7,16.5,1123,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,-1,1,1
