SetupID,Timestamp,DayOfWeek,Trade_Executed,Rejected_Step,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,Session,MarketCondition,ConfluenceScore,ATR14_Pips,ATR50_Pips,Spread_Pips,SpreadPctATR,ADX_Value,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,Score_H4Align,Score_H1Align,OB_Score,Cond_Score,win_loss,tp1_hit,tp2_hit,tp3_hit,sl_hit,mfe_r,mae_r,bars_to_outcome,entry_price,atr_1r
ATLAS_20220316_114500_53104,2022.03.16 11:45:00,Wednesday,YES,,BEARISH,BEARISH,BEARISH,BEARISH,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,OK,DISCOUNT,NONE,RANGING,125,3.07,2.35,0.05,1.63,24.17,15,15,20,20,15,10,10,5,5,5,5,-1,-1,1,1,0,0,0,0,1,0.678,1.14,1,1921.82,3.07
ATLAS_20220317_033000_53129,2022.03.17 03:30:00,Thursday,YES,,BEARISH,BULLISH,BEARISH,NEUTRAL,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,OK,DISCOUNT,NONE,CHOPPY,125,2.1,4.49,0.09,4.29,17.37,15,15,20,20,15,10,10,5,5,5,5,-1,0,1,0,1,1,1,0,0,2.205,1.248,4,1933.57,2.1
ATLAS_20220321_033000_53144,2022.03.21 03:30:00,Monday,YES,,BEARISH,NEUTRAL,BEARISH,BEARISH,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,OK,DISCOUNT,NONE,TRENDING,125,2.55,3.42,0.05,1.96,26.2,15,15,20,20,15,10,10,5,5,5,5,-1,-1,1,2,0,0,0,0,1,0.475,1.259,17,1927.63,2.55
ATLAS_20220328_010000_53145,2022.03.28 01:00:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.69,2.98,0.1,5.92,17.36,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,1,1,0,0,0,1.373,2.746,7,1956.2,1.69
ATLAS_20220328_011500_53146,2022.03.28 01:15:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.69,2.98,0.34,20.09,16.48,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,1,1,0,0,0,1.538,2.58,6,1955.92,1.69
ATLAS_20220328_013000_53147,2022.03.28 01:30:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.64,2.95,0.35,21.36,16.75,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,1,1,0,0,0,1.439,2.805,5,1956.16,1.64
ATLAS_20220328_014500_53148,2022.03.28 01:45:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.55,2.93,0.31,19.94,16.68,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,1,1,0,0,0,1.826,2.665,3,1955.69,1.55
ATLAS_20220328_020000_53149,2022.03.28 02:00:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.57,2.91,0.1,6.37,15.81,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,1,1,0,0,0,1.968,2.465,2,1955.43,1.57
ATLAS_20220328_021500_53150,2022.03.28 02:15:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.58,2.89,0.1,6.34,15.05,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,1,1,0,0,0,1.728,2.677,1,1955.79,1.58
ATLAS_20220328_023000_53151,2022.03.28 02:30:00,Monday,NO,MSS,BULLISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,PREMIUM,NONE,CHOPPY,105,1.53,2.87,0.1,6.52,14.02,15,15,20,0,15,10,10,5,5,5,5,0,-1,0,0,0,0,0,0,1,0.895,1.268,3,1957.15,1.53
