Feature,RandomForest,XGBoost,LightGBM,Mean_Importance
atr_ratio,0.07611177980199688,0.027880048,267,89.0346639427271
vol_regime,0.0866407228657819,0.027965697,260,86.70486880646479
adx,0.0817610245454916,0.028092252,235,78.36995109221202
atr50,0.07250273306304633,0.027049454,196,65.36651739566403
spread_pct_atr,0.08177240606476358,0.029292023,145,48.37035480962472
hour,0.052908236047888066,0.030216254,141,47.02770816344727
spread_quality,0.07787433401431906,0.030771784,123,41.036215372832906
atr14,0.06713612875623785,0.028144414,108,36.03176018078719
spread_pips,0.05383927337187562,0.02508363,87,29.026307634262107
sweep_count,0.03542035006784998,0.030285219,71,23.68856852293281
month,0.03695962187951042,0.023255466,63,21.020071695810575
bias_alignment,0.01929825346371359,0.025452184,45,15.014916812341085
displacement,0.00891280957829233,0.025235046,41,13.678049285093186
pwl_sweep,0.018374636013799486,0.037217267,40,13.351863967623807
pdh_sweep,0.015588612002537711,0.031477347,31,10.349021986339624
daily_bias,0.013285306385815208,0.027101226,26,8.680128844178935
day_of_week,0.023690550533675574,0.029407784,24,8.017699444958813
asian_sweep,0.006202684716873252,0.024996469,22,7.343733051171399
h1_bias,0.013433911647489825,0.024269847,16,5.345901252948937
fvg_present,0.0066459075945468115,0.025023498,15,5.0105564684118775
ob_present,0.007934688642995529,0.025094638,14,4.677676442096756
pdl_sweep,0.002999081140176332,0.028480804,14,4.677159961578057
eql_sweep,0.015564669033454218,0.027002737,13,4.347522468653177
h4_bias,0.012807016438679769,0.029594325,13,4.34746711365595
weekly_bias,0.009559162297356351,0.029123377,11,3.6795608464507623
eqh_sweep,0.010556493884321274,0.023307025,5,1.6779545064389694
prem_disc,0.004496811002267149,0.022562241,5,1.6756863507279993
market_cond,0.010167439576441886,0.014217901,5,1.6747951135400119
score_h1align,0.01383534293118914,0.026804835,4,1.3468800591784842
pwh_sweep,0.008673133802565637,0.027528673,4,1.345400602404327
score_adr,0.005896752007006831,0.029049978,3,1.011648909889062
adr_ok,0.004170390856804204,0.017082522,3,1.0070843041829074
score_h4align,0.013811914992796338,0.021099646,2,0.6783038535457409
session_ny,0.0056353462799316875,0.025293462,2,0.6769762694194558
cond_score,0.0134579445278649,0.064020835,1,0.35915959313035023
ob_score,0.007483915759439844,0.023174124,0,0.010219346532661246
confluence_score,0.004590614411203935,0.008346059,0,0.004312224590271339
score_daily,0.0,0.0,0,0.0
score_weekly,0.0,0.0,0,0.0
score_premdisc,0.0,0.0,0,0.0
score_po3,0.0,0.0,0,0.0
score_smt,0.0,0.0,0,0.0
score_killzone,0.0,0.0,0,0.0
score_displacement,0.0,0.0,0,0.0
score_fvg,0.0,0.0,0,0.0
score_liqsweep,0.0,0.0,0,0.0
planned_rr,0.0,0.0,0,0.0
