Threshold,N_Trades,Pct_Kept,Win_Rate,Total_Profit,Pct_Base_Profit,Expectancy,Profit_Factor
0.3,286,67.3,84.3,20302.18,145.0,70.99,8.672
0.32,276,64.9,87.3,20588.54,147.1,74.6,9.724
0.34,265,62.4,90.9,21027.45,150.2,79.35,11.946
0.36,255,60.0,93.7,21164.75,151.2,83.0,14.593
0.38,250,58.8,95.6,21660.61,154.7,86.64,21.413
0.4,247,58.1,96.8,21764.61,155.5,88.12,23.739
0.42,246,57.9,97.2,21799.9,155.7,88.62,24.648
0.44,244,57.4,97.1,21585.34,154.2,88.46,24.415
0.46,240,56.5,97.9,21562.47,154.0,89.84,33.128
0.48,237,55.8,97.9,21451.59,153.3,90.51,32.963
0.5,236,55.5,98.3,21968.87,156.9,93.09,143.785
0.52,231,54.4,99.1,21982.34,157.0,95.16,234.358
0.54,227,53.4,99.6,21935.32,156.7,96.63,2329.59
0.56,223,52.5,100.0,21905.2,156.5,98.23,inf
0.58,222,52.2,100.0,21899.56,156.5,98.65,inf
0.6,220,51.8,100.0,21850.22,156.1,99.32,inf
0.62,219,51.5,100.0,21835.34,156.0,99.7,inf
0.64,213,50.1,100.0,20205.74,144.4,94.86,inf
0.66,202,47.5,100.0,19148.64,136.8,94.8,inf
0.68,188,44.2,100.0,17525.46,125.2,93.22,inf
0.7,178,41.9,100.0,17371.34,124.1,97.59,inf
0.72,166,39.1,100.0,14539.2,103.9,87.59,inf
0.74,149,35.1,100.0,12459.67,89.0,83.62,inf
0.76,139,32.7,100.0,12044.02,86.0,86.65,inf
0.78,125,29.4,100.0,11505.43,82.2,92.04,inf
0.8,109,25.6,100.0,10805.78,77.2,99.14,inf
0.82,92,21.6,100.0,7925.77,56.6,86.15,inf
0.84,72,16.9,100.0,5848.97,41.8,81.24,inf
0.86,56,13.2,100.0,5241.2,37.4,93.59,inf
