Threshold,N_Trades,Pct_Kept,Win_Rate,Total_Profit,Pct_Base_Profit,Expectancy,Profit_Factor
0.3,3383,87.5,58.6,3097.58,125.0,0.92,2.562
0.32,3277,84.8,60.2,3220.16,129.9,0.98,2.739
0.34,3155,81.6,62.3,3360.78,135.6,1.07,2.989
0.36,3010,77.9,64.8,3511.42,141.7,1.17,3.333
0.38,2878,74.5,67.1,3640.55,146.9,1.26,3.722
0.4,2752,71.2,69.1,3716.45,149.9,1.35,4.087
0.42,2586,66.9,71.9,3803.98,153.5,1.47,4.712
0.44,2417,62.5,74.6,3839.58,154.9,1.59,5.455
0.46,2260,58.5,77.1,3825.68,154.3,1.69,6.243
0.48,2099,54.3,79.8,3817.72,154.0,1.82,7.422
0.5,1941,50.2,82.4,3754.51,151.5,1.93,8.802
0.52,1783,46.1,84.7,3639.55,146.8,2.04,10.507
0.54,1617,41.8,87.0,3468.05,139.9,2.14,12.545
0.56,1472,38.1,88.7,3305.5,133.3,2.25,14.767
0.58,1312,33.9,90.4,3072.23,123.9,2.34,18.042
0.6,1159,30.0,92.1,2810.84,113.4,2.43,21.928
0.62,1028,26.6,93.1,2541.55,102.5,2.47,24.584
0.64,902,23.3,94.6,2294.5,92.6,2.54,32.992
0.66,787,20.4,95.0,2036.03,82.1,2.59,36.57
0.68,676,17.5,96.2,1801.99,72.7,2.67,47.691
0.7,573,14.8,96.7,1527.47,61.6,2.67,54.957
0.72,480,12.4,97.1,1291.61,52.1,2.69,61.827
0.74,383,9.9,97.9,1051.42,42.4,2.75,92.699
0.76,312,8.1,98.1,846.86,34.2,2.71,95.631
0.78,235,6.1,97.9,626.36,25.3,2.67,92.492
0.8,187,4.8,98.9,513.95,20.7,2.75,211.205
0.82,140,3.6,98.6,376.21,15.2,2.69,154.867
0.84,97,2.5,99.0,249.73,10.1,2.57,144.938
0.86,67,1.7,98.5,166.1,6.7,2.48,96.737
