feature,index,mean,std
hour,0,10.692949437583922,6.747796999841665
month,1,6.5254132822646325,3.4214419400225204
day_of_week,2,0.9485130643421603,1.146537117097277
session_ny,3,0.11825045675669726,0.322904453722041
weekly_bias,4,0.6938959695348786,0.4801484631475655
daily_bias,5,0.3539369125448502,0.7678700628112539
h4_bias,6,0.1900327984327192,0.6522429894451752
h1_bias,7,0.1059235290233111,0.7178552216028359
bias_alignment,8,1.879394219551388,0.992833517853729
pdh_sweep,9,0.05672587994452882,0.23131808076552887
pdl_sweep,10,0.06354971493979616,0.24394906982988648
pwh_sweep,11,0.11644544233859429,0.3207583222570592
pwl_sweep,12,0.04596183054876841,0.20940234163297863
asian_sweep,13,0.4493605406238306,0.4974290352945728
eqh_sweep,14,0.3717449206454027,0.4832707673962351
eql_sweep,15,0.40262827709172555,0.49042710730329153
sweep_count,16,1.5064166061326465,1.6097598193198652
displacement,17,0.007132008188601995,0.08414952553520257
fvg_present,18,0.1790706376983865,0.38341145576609953
ob_present,19,0.3951220585969315,0.48887689391814637
adr_ok,20,0.8423253868674195,0.36443563149899544
prem_disc,21,0.30154746967795903,0.9534511647330557
market_cond,22,1.4471813158995355,0.7035178813001501
mss_present,23,0.0002201237095247529,0.014834933605421291
atr14,24,1.568311210900526,0.9801352436159174
atr50,25,1.6550707697726124,0.9224014385640593
atr_ratio,26,0.9841090683904338,0.3298283612302596
spread_pips,27,0.26949811794228357,0.23152813570273356
spread_pct_atr,28,21.573123995685574,19.083678616227274
adx,29,28.971662154130623,10.722362716302966
vol_regime,30,46.051249587268046,37.577635378830216
spread_quality,31,0.7854263947177483,0.18047787303097926
score_weekly,32,15.0,1.0
score_daily,33,15.0,1.0
score_liqsweep,34,20.0,1.0
score_mss,35,0.42175702744942656,2.873545120367097
score_displacement,36,15.0,1.0
score_fvg,37,10.0,1.0
score_killzone,38,10.0,1.0
score_smt,39,5.0,1.0
score_adr,40,4.211626934337097,1.8221781574949771
score_po3,41,5.0,1.0
score_premdisc,42,5.0,1.0
confluence_score,43,104.63338396178652,3.3530936337336783
score_h4align,44,0.1900327984327192,0.6522429894451752
score_h1align,45,0.1059235290233111,0.7178552216028359
ob_score,46,0.3951220585969315,0.48887689391814637
cond_score,47,1.4471813158995355,0.7035178813001501
