Threshold,N_Trades,Pct_Kept,Win_Rate,Total_Profit,Pct_Base_Profit,Expectancy,Profit_Factor
0.3,44218,97.3,50.1,22485.99,105.1,0.51,1.676
0.32,43920,96.7,50.4,22743.58,106.3,0.52,1.69
0.34,43433,95.6,50.8,23133.64,108.2,0.53,1.713
0.36,42854,94.3,51.2,23526.03,110.0,0.55,1.738
0.38,42095,92.7,51.8,24031.79,112.4,0.57,1.773
0.4,41080,90.4,52.5,24613.24,115.1,0.6,1.818
0.42,39795,87.6,53.3,25266.35,118.1,0.63,1.879
0.44,37960,83.6,54.3,25823.97,120.7,0.68,1.957
0.46,35025,77.1,55.8,26215.84,122.6,0.75,2.082
0.48,30834,67.9,58.0,26166.69,122.3,0.85,2.282
0.5,25073,55.2,61.3,25150.88,117.6,1.0,2.633
0.52,18356,40.4,65.0,21480.68,100.4,1.17,3.075
0.54,12267,27.0,69.2,16971.17,79.3,1.38,3.807
0.56,7835,17.2,74.6,12764.62,59.7,1.63,4.985
0.58,4969,10.9,79.4,9163.7,42.8,1.84,6.552
0.6,3068,6.8,84.1,6297.6,29.4,2.05,9.027
0.62,1892,4.2,88.6,4203.39,19.7,2.22,13.563
0.64,1251,2.8,91.8,2883.28,13.5,2.3,19.445
0.66,818,1.8,94.5,1933.23,9.0,2.36,31.373
0.68,529,1.2,98.3,1272.68,5.9,2.41,101.369
0.7,367,0.8,98.1,894.12,4.2,2.44,92.255
0.72,266,0.6,98.1,635.93,3.0,2.39,130.412
0.74,192,0.4,99.0,462.2,2.2,2.41,189.574
0.76,136,0.3,99.3,297.68,1.4,2.19,392.164
0.78,95,0.2,100.0,209.54,1.0,2.21,inf
0.8,56,0.1,100.0,128.97,0.6,2.3,inf
0.82,24,0.1,100.0,55.09,0.3,2.3,inf
0.84,10,0.0,100.0,23.06,0.1,2.31,inf
0.86,5,0.0,100.0,12.2,0.1,2.44,inf
