SetupID,Timestamp,DayOfWeek,Trade_Executed,Rejected_Step,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,Session,MarketCondition,ConfluenceScore,ATR14_Pips,ATR50_Pips,Spread_Pips,SpreadPctATR,ADX_Value,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,Score_H4Align,Score_H1Align,OB_Score,Cond_Score,win_loss,tp1_hit,tp2_hit,tp3_hit,sl_hit,mfe_r,mae_r,bars_to_outcome,entry_price,atr_1r,ts,ml_score,ml_decision,outcome
ATLAS_20090316_010000_56118,2009.03.16 01:00:00,Monday,NO,MSS,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,DISCOUNT,NONE,RANGING,105,1.19,2.51,0.02,1.68,23.93,15,15,20,0,15,10,10,5,5,5,5,0,0,0,1,1,1,1,1,0,3.403,0.84,9,926.05,1.19,2009-03-16 01:00:00,0.5215156520296789,TAKEN,1
ATLAS_20090316_011500_56119,2009.03.16 01:15:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,DISCOUNT,NONE,RANGING,105,1.5,2.57,0.02,1.33,23.1,15,15,20,0,15,10,10,5,5,5,5,0,0,0,1,1,1,1,0,0,2.813,1.687,8,925.88,1.5,2009-03-16 01:15:00,0.5375691145259436,TAKEN,1
ATLAS_20090316_013000_56120,2009.03.16 01:30:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,DISCOUNT,NONE,RANGING,105,1.52,2.56,0.02,1.31,24.78,15,15,20,0,15,10,10,5,5,5,5,0,0,0,1,1,1,1,0,0,2.875,1.566,7,925.73,1.52,2009-03-16 01:30:00,0.5409940638669958,TAKEN,1
ATLAS_20090316_014500_56121,2009.03.16 01:45:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OK,DISCOUNT,NONE,TRENDING,105,1.49,2.53,0.02,1.35,26.24,15,15,20,0,15,10,10,5,5,5,5,0,0,0,2,1,1,1,1,0,3.101,0.067,2,925.48,1.49,2009-03-16 01:45:00,0.5409940638669958,TAKEN,1
ATLAS_20090316_020000_56122,2009.03.16 02:00:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,OK,DISCOUNT,NONE,RANGING,105,1.66,2.58,0.02,1.21,23.03,15,15,20,0,15,10,10,5,5,5,5,0,0,0,1,1,1,1,0,0,2.289,1.777,5,926.3,1.66,2009-03-16 02:00:00,0.5483334993140194,TAKEN,1
ATLAS_20090316_021500_56123,2009.03.16 02:15:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,OK,DISCOUNT,NONE,RANGING,105,1.73,2.6,0.02,1.16,20.8,15,15,20,0,15,10,10,5,5,5,5,0,0,0,1,1,1,0,0,0,1.832,1.289,5,926.93,1.73,2009-03-16 02:15:00,0.5513167136380231,TAKEN,1
ATLAS_20090316_023000_56124,2009.03.16 02:30:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,OK,DISCOUNT,NONE,RANGING,105,1.76,2.58,0.02,1.14,18.42,15,15,20,0,15,10,10,5,5,5,5,0,0,0,1,1,1,1,0,0,2.028,1.04,4,926.53,1.76,2009-03-16 02:30:00,0.5431090682056181,TAKEN,1
ATLAS_20090316_024500_56125,2009.03.16 02:45:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,OK,DISCOUNT,NONE,CHOPPY,105,1.76,2.56,0.02,1.13,16.35,15,15,20,0,15,10,10,5,5,5,5,0,0,0,0,1,1,1,0,0,2.057,1.011,3,926.48,1.76,2009-03-16 02:45:00,0.5427929157721543,TAKEN,1
ATLAS_20090316_030000_56126,2009.03.16 03:00:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,OK,DISCOUNT,NONE,CHOPPY,105,1.73,2.55,0.02,1.16,14.56,15,15,20,0,15,10,10,5,5,5,5,0,0,0,0,1,1,1,0,0,2.225,1.676,1,926.25,1.73,2009-03-16 03:00:00,0.5276519582809618,TAKEN,1
ATLAS_20090316_031500_56127,2009.03.16 03:15:00,Monday,NO,MSS,BULLISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,OK,DISCOUNT,NONE,CHOPPY,105,1.66,2.53,0.02,1.2,15.91,15,15,20,0,15,10,10,5,5,5,5,0,0,0,0,1,1,0,0,0,1.608,1.645,1,927.43,1.66,2009-03-16 03:15:00,0.5238863121001531,TAKEN,1
